"keys","en","cn"
"6A9Z","On kill, this tower is stunned and the bonus from [color=GOLD]Energy Acceleration[/color] is lost.
","击杀单位时该防御塔将被击晕，并失去[color=GOLD]能量加速[/color]的加成效果。"
"7VTT","On kill, this tower is stunned for 2 seconds and the bonus from [color=GOLD]Energy Acceleration[/color] is lost.
","击杀单位时该防御塔将被击晕2秒，并失去[color=GOLD]能量加速[/color]的加成效果。"
"09RL","Special Training","特训协议"
"QLMT","On higher levels, copters gain special abilities.
","防御塔在提升等级时获得特殊能力。"
"LZ76","On higher levels the copters specialize.
On level 7: Copter #1 has its damage type changed to [color=6495edff]Elemental[/color], each rocket's AoE is increased by 25% and the attacks gain a napalm modifier. Napalm causes a 20% slow and 50% of the tower's attack damage as [color=6495edff]Elemental[/color] damage per second for 5 seconds.
 
On level 15: Copter #2 will change its machine-gun-missiles to a long ranged tesla coil, changing the damage type to [color=1e90ffff]Energy[/color] and increasing attack range to 210. Furthermore its armor reduction base effect is increased to 50%, but the slow is decreased to 10%.
 
On level 25: Copter #3 will become a legendary Ghost Warrior. Ghost Warriors have an on-board teleportation device, allowing them to teleport behind targets every 5 seconds. Shooting delays the charging of the teleportation device.
","提升等级时获得特殊能力：
7级：1号直升机伤害类型转变为[color=6495edff]元素[/color]，火箭爆炸范围扩大25%，攻击附加凝固汽油效果。凝固汽油造成20%减速，并在5秒内每秒造成相当于防御塔50%攻击力的[color=6495edff]元素[/color]伤害。

15级：2号直升机将机枪导弹替换为长程电枪，伤害类型转变为[color=1e90ffff]能量[/color]，射程提升至210范围。基础破甲效果增强至50%，但减速效果降低至10%。

25级：3号直升机进化为传奇幽灵战士。幽灵战士搭载瞬移装置，每5秒可瞬移至目标身后。发动攻击会延迟瞬移装置充能。"""
"IMC6","Helicopter Zone","直升机领域"
"NACI","3 helicopters circle around the tower trying to stay within 1000 range of it. The helicopters attack creeps in front of them, dealing the tower's attack damage. Helicopters also reduce movement speed and armor of hit creeps. These helicopters are not affected by attack speed.
","3架直升机环绕防御塔（最大半径1000范围），自动攻击前方敌方单位。直升机攻击造成防御塔攻击力的[color=d2b48cff]物理[/color]伤害，并降低目标移速与护甲。直升机攻击不受攻速影响。"
"0VQZ","3 helicopters circle around the tower trying to stay within 1000 range of it. If there are creeps in front of a helicopter, it will attack them dealing the tower's attack damage as [color=d2b48cff]Physical[/color] damage.
 
Helicopters attack every 0.25 seconds with a barrage of 3 missiles spaced 250 range apart and exploding in 140 AoE. Hit creeps are slowed by 50% and their armor is reduced by 30% for 0.8 seconds. Not affected by attack speed.
 
[color=ORANGE]Level Bonus:[/color]
+0.4% armor reduction
","3架直升机环绕防御塔（最大半径1000范围）自动攻击前方敌方单位，造成等同于防御塔攻击力的[color=d2b48cff]物理[/color]伤害。

直升机每隔0.25秒发射3枚间隔250范围的导弹，在140范围内爆炸。被击中的敌方单位移速降低50%，护甲减少30%，持续0.8秒。不受攻击速度影响。

[color=ORANGE]等级加成：[/color]
+0.4% 破甲效果"
"EVVG","Fireblossom","火花绽放"
"R3AJ","Every few attacks this tower deals some bonus damage.
","每数次攻击触发额外伤害。"
"I4QT","Every 7th attack deals 10% bonus damage.
Every 8th attack deals 20% bonus damage.
Every 9th attack deals 30% bonus damage.
Every 10th attack deals 40% bonus damage.
 
[color=ORANGE]Level Bonus:[/color]
+0.2% bonus damage every 7th attack.
+0.4% bonus damage every 8th attack.
+0.6% bonus damage every 9th attack.
+0.8% bonus damage every 10th attack.
","第7次攻击造成10%额外伤害
第8次攻击造成20%额外伤害
第9次攻击造成30%额外伤害
第10次攻击造成40%额外伤害

[color=ORANGE]等级加成：[/color]
第7次攻击+0.2% 额外伤害
第8次攻击+0.4% 额外伤害
第9次攻击+0.6% 额外伤害
第10次攻击+0.8% 额外伤害"
"DYU9","Fireblossom","火花绽放"
"QMQX","Every few attacks this tower deals some bonus damage.
","每数次攻击触发额外伤害。"
"J1MW","Every 7th attack deals 10% bonus damage.
Every 8th attack deals 20% bonus damage.
Every 9th attack deals 30% bonus damage.
Every 10th attack deals 40% bonus damage.
 
[color=ORANGE]Level Bonus:[/color]
+0.2% bonus damage every 7th attack.
+0.4% bonus damage every 8th attack.
+0.6% bonus damage every 9th attack.
+0.8% bonus damage every 10th attack.
","第7次攻击造成10%额外伤害
第8次攻击造成20%额外伤害
第9次攻击造成30%额外伤害
第10次攻击造成40%额外伤害

[color=ORANGE]等级加成：[/color]
第7次攻击+0.2% 额外伤害
第8次攻击+0.4% 额外伤害
第9次攻击+0.6% 额外伤害
第10次攻击+0.8% 额外伤害"
"7XSU","Fireblossom","火花绽放"
"WZYQ","Every few attacks this tower deals some bonus damage.
","每数次攻击触发额外伤害。"
"KH0X","Every 6th attack deals 12.5% bonus damage.
Every 7th attack deals 25% bonus damage.
Every 8th attack deals 37.5% bonus damage.
Every 9th attack deals 50% bonus damage.
 
[color=ORANGE]Level Bonus:[/color]
+0.25% bonus damage every 6th attack.
+0.5% bonus damage every 7th attack.
+0.75% bonus damage every 8th attack.
+1% bonus damage every 9th attack.
","第6次攻击造成12.5%额外伤害
第7次攻击造成25%额外伤害
第8次攻击造成37.5%额外伤害
第9次攻击造成50%额外伤害

[color=ORANGE]等级加成：[/color]
第6次攻击+0.25% 额外伤害
第7次攻击+0.5% 额外伤害
第8次攻击+0.75% 额外伤害
第9次攻击+1% 额外伤害"
"TLXO","Fireblossom","火花绽放"
"SVNL","Every few attacks this tower deals some bonus damage.
","每数次攻击触发额外伤害。"
"NACD","Every 6th attack deals 12.5% bonus damage.
Every 7th attack deals 25% bonus damage.
Every 8th attack deals 37.5% bonus damage.
Every 9th attack deals 50% bonus damage.
 
[color=ORANGE]Level Bonus:[/color]
+0.25% bonus damage every 6th attack.
+0.5% bonus damage every 7th attack.
+0.75% bonus damage every 8th attack.
+1% bonus damage every 9th attack.
","第6次攻击造成12.5%额外伤害
第7次攻击造成25%额外伤害
第8次攻击造成37.5%额外伤害
第9次攻击造成50%额外伤害

[color=ORANGE]等级加成：[/color]
第6次攻击+0.25% 额外伤害
第7次攻击+0.5% 额外伤害
第8次攻击+0.75% 额外伤害
第9次攻击+1% 额外伤害"
"8VWF","Fireblossom","火花绽放"
"2Y8J","Every few attacks this tower deals some bonus damage.
","每数次攻击触发额外伤害。"
"83G2","Every 5th attack deals 15% bonus damage.
Every 6th attack deals 30% bonus damage.
Every 7th attack deals 45% bonus damage.
Every 8th attack deals 60% bonus damage.
 
[color=ORANGE]Level Bonus:[/color]
+0.3% bonus damage every 5th attack.
+0.6% bonus damage every 6th attack.
+0.9% bonus damage every 7th attack.
+1.2% bonus damage every 8th attack.
","第5次攻击造成15%额外伤害
第6次攻击造成30%额外伤害
第7次攻击造成45%额外伤害
第8次攻击造成60%额外伤害

[color=ORANGE]等级加成：[/color]
第5次攻击+0.3% 额外伤害
第6次攻击+0.6% 额外伤害
第7次攻击+0.7% 额外伤害
第8次攻击+1.2% 额外伤害"
"UYKG","Fireblossom","火花绽放"
"4Q7B","Every few attacks this tower deals some bonus damage.
","每数次攻击触发额外伤害。"
"7E2Q","Every 5th attack deals 15% bonus damage.
Every 6th attack deals 30% bonus damage.
Every 7th attack deals 45% bonus damage.
Every 8th attack deals 60% bonus damage.
 
[color=ORANGE]Level Bonus:[/color]
+0.3% bonus damage every 5th attack.
+0.6% bonus damage every 6th attack.
+0.9% bonus damage every 7th attack.
+1.2% bonus damage every 8th attack.
","第5次攻击造成15%额外伤害
第6次攻击造成30%额外伤害
第7次攻击造成45%额外伤害
第8次攻击造成60%额外伤害

[color=ORANGE]等级加成：[/color]
第5次攻击+0.3% 额外伤害
第6次攻击+0.6% 额外伤害
第7次攻击+0.7% 额外伤害
第8次攻击+1.2% 额外伤害"
"ZXVJ","Moths of Prey","掠食飞蛾"
"SR8K","This tower controls 6 magical moths which deal spell damage.
","该防御塔操控6只造成法术伤害的魔法飞蛾。"
"TA54","This tower controls 6 magical moths.
 
Each moth deals 50 spell damage every 0.5 seconds to a random creep within 375 range of the moth. The moths also burn 2 mana on damage.
 
[color=ORANGE]Level Bonus:[/color]
+0.08 mana burned
","该防御塔操控6只魔法飞蛾。

每只飞蛾每隔0.5秒对自身375范围内随机敌方单位造成50点法术伤害，并燃烧目标2点法力值。

[color=ORANGE]等级加成：[/color]
+0.08 法力燃烧"
"015B","Rare Breed","稀有血统"
"LFYO","[color=GOLD]Moths of Prey[/color] will change their abilities depending on sum of gold costs of nearby towers.
","[color=GOLD]掠食飞蛾[/color]会根据附近防御塔总造价改变能力。"
"R587","[color=GOLD]Moths of Prey[/color] will change their abilities depending on the sum of gold costs of towers in 110 range. This also includes the gold cost of this tower. The ability is picked based on the element of the biggest gold cost sum.
 
[color=9370dbff]Darkness[/color]: increases damage to 75.
[color=ff4500ff]Fire[/color]: increases mana burn amount by 2.
[color=ffffe0ff]Storm[/color]: increases speed of the moths.
","color=GOLD]掠食飞蛾[/color]将根据110范围内防御塔（包含自身）造价总和切换能力，优先选择元素类型总最高造价对应的元素属性：

[color=9370dbff]黑暗系[/color]：伤害提升至75点
[color=ff4500ff]火焰系[/color]：法力燃烧量+2
[color=ffffe0ff]风暴系[/color]：提升飞蛾攻击速度"
"HP4E","Moths of Prey","掠食飞蛾"
"G5NW","This tower controls 6 magical moths which deal spell damage.
","该防御塔操控6只造成法术伤害的魔法飞蛾。"
"1CZI","This tower controls 6 magical moths.
 
Each moth deals 80 spell damage every 0.5 seconds to a random creep within 375 range of the moth. The moths also burn 3 mana on damage.
 
[color=ORANGE]Level Bonus:[/color]
+0.08 mana burned
","该防御塔操控6只魔法飞蛾。

每只飞蛾每隔0.5秒对自身375范围内随机敌方单位造成80点法术伤害，并燃烧目标3点法力值。

[color=ORANGE]等级加成：[/color]
+0.08 法力燃烧"
"CEDF","Rare Breed","稀有血统"
"4X6F","[color=GOLD]Moths of Prey[/color] will change their abilities depending on sum of gold costs of nearby towers.
","[color=GOLD]掠食飞蛾[/color]会根据附近防御塔总造价改变能力。"
"Y2WT","[color=GOLD]Moths of Prey[/color] will change their abilities depending on the sum of gold costs of towers in 110 range. This also includes the gold cost of this tower. The ability is picked based on the element of the biggest gold cost sum.
 
[color=9370dbff]Darkness[/color]: increases damage to 120.
[color=ff4500ff]Fire[/color]: increases mana burn amount by 3.
[color=ffffe0ff]Storm[/color]: increases speed of the moths.
","color=GOLD]掠食飞蛾[/color]将根据110范围内防御塔（包含自身）造价总和切换能力，优先选择元素类型总最高造价对应的元素属性：

[color=9370dbff]黑暗系[/color]：伤害提升至120点
[color=ff4500ff]火焰系[/color]：法力燃烧量+3
[color=ffffe0ff]风暴系[/color]：提升飞蛾攻击速度"
"ZR7R","Moths of Prey","掠食飞蛾"
"PKH6","This tower controls 7 magical moths which deal spell damage.
","该防御塔操控6只造成法术伤害的魔法飞蛾。"
"CB3E","This tower controls 7 magical moths.
 
Each moth deals 110 spell damage every 0.5 seconds to a random creep within 375 range of the moth. The moths also burn 4 mana on damage.
 
[color=ORANGE]Level Bonus:[/color]
+0.08 mana burned
","该防御塔操控6只魔法飞蛾。

每只飞蛾每隔0.5秒对自身375范围内随机敌方单位造成110点法术伤害，并燃烧目标4点法力值。

[color=ORANGE]等级加成：[/color]
+0.08 法力燃烧"
"RRJC","Rare Breed","稀有血统"
"SP1K","[color=GOLD]Moths of Prey[/color] will change their abilities depending on sum of gold costs of nearby towers.
","[color=GOLD]掠食飞蛾[/color]会根据附近防御塔总造价改变能力。"
"9PSU","[color=GOLD]Moths of Prey[/color] will change their abilities depending on the sum of gold costs of towers in 110 range. This also includes the gold cost of this tower. The ability is picked based on the element of the biggest gold cost sum.
 
[color=9370dbff]Darkness[/color]: increases damage to 165.
[color=ff4500ff]Fire[/color]: increases mana burn amount by 4.
[color=ffffe0ff]Storm[/color]: increases speed of the moths.
","color=GOLD]掠食飞蛾[/color]将根据110范围内防御塔（包含自身）造价总和切换能力，优先选择元素类型总最高造价对应的元素属性：

[color=9370dbff]黑暗系[/color]：伤害提升至165点
[color=ff4500ff]火焰系[/color]：法力燃烧量+4
[color=ffffe0ff]风暴系[/color]：提升飞蛾攻击速度"
"MIYH","Cannon","加农炮"
"56D1","The Dutchman attacks a random creep in range, dealing AoE attack damage.
","攻击范围内随机敌方单位，造成范围攻击伤害。"
"Y61W","The Dutchman attacks a random creep in 800 range, dealing the tower's attack damage in 250 AoE around the target on hit. Uses the tower's attack speed.
","攻击800范围内随机敌方单位，命中时对目标250范围造成等同于防御塔攻击力的伤害，此技能的攻击速度与防御塔自身相同。"
"HF49","Soul Attack","灵魂打击"
"6KGV","Every 5 seconds the Dutchman attacks a random creep in range with a collected soul, dealing spell damage.
","每5秒用收集的灵魂攻击目标，造成法术伤害。 "
"ODTO","Every 5 seconds the Dutchman attacks a random creep in 1200 range with a collected soul. Deals 14000 spell damage to the target.
 
[color=ORANGE]Level Bonus:[/color]
+1400 spell damage
","每5秒对1200范围内随机敌方单位发动灵魂打击，造成14000点法术伤害。

[color=ORANGE]等级加成：[/color]
+1400 法术伤害"
"3K8H","Panic","恐慌蔓延"
"M6QG","Whenever the Dutchman kills a creep, it collects its soul. Reduces armor of other creeps near the killed creep but also causes them to move faster.
","击杀单位时收集灵魂，降低周围敌方护甲但提升其移速。"
"M579","Whenever the Dutchman kills a creep, it collects its soul. All creeps in a range of 300 around the killed creep start to panic. They have only one thing in mind: RUN!. They don't care about their defense and their armor is reduced by 25, but they run 20% faster. This effect lasts 10 seconds.
 
[color=ORANGE]Level Bonus:[/color]
-1 armor
-0.2% movement speed
","击杀敌方单位时收集其灵魂，使目标300范围内所有单位进入恐慌状态：护甲降低25点，移速提升20%，持续10秒。

[color=ORANGE]等级加成：[/color]
-1 护甲
-0.2% 移动速度"
"2H76","Lightning Strike","闪电轰击"
"BXIR","Chance to strike hit creeps with a lightning bolt, dealing spell damage.
","攻击有几率召唤闪电造成法术伤害。"
"PPCH","15% chance to strike hit creeps with a lightning bolt, dealing 2000 spell damage.
 
[color=ORANGE]Level Bonus:[/color]
+100 spell damage
+0.4% chance
","15%几率对命中的敌方单位释放闪电，造成2000点法术伤害。

[color=ORANGE]等级加成：[/color]
+100 法术伤害
+0.4% 几率"
"MJHL","Lightning Strike","闪电轰击"
"1RQM","Chance to strike hit creeps with a lightning bolt, dealing spell damage.
","攻击有几率召唤闪电造成法术伤害。"
"9O9W","20% chance to strike hit creeps with a lightning bolt, dealing 4000 spell damage.
 
[color=ORANGE]Level Bonus:[/color]
+200 spell damage
+0.4% chance
","20%几率对命中的敌方单位释放闪电，造成4000点法术伤害。

[color=ORANGE]等级加成：[/color]
+200 法术伤害
+0.4% 几率"
"8Q9G","Hail of Axes","斧刃风暴"
"JCWG","Militia guardians throw axes to up to 3 enemies at once, but each axe has a chance to miss.
","同时用斧头攻击3个目标，但每把斧头可能攻击落空。"
"DQPT","Militia guardians throw axes to up to 3 enemies at once, but each axe has 33% chance to miss. If there are less creeps than axes, the remaining axes will hit the main target.
 
[color=GOLD]Note:[/color] these extra axes will not trigger any 'on hit' abilities.
 
[color=ORANGE]Level Bonus:[/color]
-1% chance to miss
+1 target at levels 15 and 25
","同时向3个目标投掷斧头，每把斧头有33%未命中几率。当目标数量不足时，剩余斧头将攻击主目标。

[color=GOLD]注：[/color]额外斧头不会触发击中时效果。

[color=ORANGE]等级加成：[/color]
-1% 未命中几率
15级和25级时+1 目标数量"
"9T7U","Hail of Axes","斧刃风暴"
"0BQS","Militia guardians throw axes to up to 3 enemies at once, but each axe has a chance to miss.
","同时用斧头攻击3个目标，但每把斧头可能攻击落空。"
"E2GS","Militia guardians throw axes to up to 3 enemies at once, but each axe has 33% chance to miss. If there are less creeps than axes, the remaining axes will hit the main target.
 
[color=GOLD]Note:[/color] these extra axes will not trigger any 'on hit' abilities.
 
[color=ORANGE]Level Bonus:[/color]
-1.1% chance to miss
+1 target at levels 15 and 25
","同时向3个目标投掷斧头，每把斧头有33%未命中几率。当目标数量不足时，剩余斧头将攻击主目标。

[color=GOLD]注：[/color]额外斧头不会触发击中时效果。

[color=ORANGE]等级加成：[/color]
-1.1% 未命中几率
15级和25级时+1 目标数量"
"NOS4","Hail of Axes","斧刃风暴"
"HAHA","Militia guardians throw axes to up to 3 enemies at once, but each axe has a chance to miss.
","同时用斧头攻击3个目标，但每把斧头可能攻击落空。"
"SJTB","Militia guardians throw axes to up to 3 enemies at once, but each axe has 33% chance to miss. If there are less creeps than axes, the remaining axes will hit the main target.
 
[color=GOLD]Note:[/color] these extra axes will not trigger any 'on hit' abilities.
 
[color=ORANGE]Level Bonus:[/color]
-1.1% chance to miss
+1 target at levels 15 and 25
","同时向3个目标投掷斧头，每把斧头有33%未命中几率。当目标数量不足时，剩余斧头将攻击主目标。

[color=GOLD]注：[/color]额外斧头不会触发击中时效果。

[color=ORANGE]等级加成：[/color]
-1.1% 未命中几率
15级和25级时+1目标数量"
"26QQ","Hail of Axes","斧刃风暴"
"6CK3","Militia guardians throw axes to up to 3 enemies at once, but each axe has a chance to miss.
","同时用斧头攻击3个目标，但每把斧头可能攻击落空。"
"HCQS","Militia guardians throw axes to up to 3 enemies at once, but each axe has 33% chance to miss. If there are less creeps than axes, the remaining axes will hit the main target.
 
[color=GOLD]Note:[/color] these extra axes will not trigger any 'on hit' abilities.
 
[color=ORANGE]Level Bonus:[/color]
-1.2% chance to miss
+1 target at levels 15 and 25
","同时向3个目标投掷斧头，每把斧头有33%未命中几率。当目标数量不足时，剩余斧头将攻击主目标。

[color=GOLD]注：[/color]额外斧头不会触发击中时效果。

[color=ORANGE]等级加成：[/color]
-1.2% 未命中几率
15级和25级时+1目标数量"
"N1DB","Firestorm","烈焰风暴"
"ACM5","Attacks have a chance to cause repeating AoE spell damage around the main target.
","攻击有几率对目标施加持续范围法术伤害。"
"1WRK","Attacks have a 12% chance to apply 3 charges of [color=GOLD]Firestorm[/color] to the target. Each second, a charge will be spent, dealing 100 spell damage to enemies in 300 range. If the target already has charges, the charges will accumulate and a charge will be consumed instantly. On death all remaining [color=GOLD]Firestorm[/color] charges get consumed at once.
 
[color=ORANGE]Level Bonus:[/color]
+0.4% chance
+3 damage
","攻击时有12%几率对目标施加3层[color=GOLD]烈焰风暴[/color]，每秒消耗1层对300范围造成100点法术伤害。对已有层数的敌方单位，此效果会叠加并立即消耗1层。目标死亡时剩余层数全部立即爆发。

[color=ORANGE]等级加成：[/color]
+0.4% 几率
+3 伤害"
"2JZC","Firestorm","烈焰风暴"
"2WZD","Attacks have a chance to cause repeating AoE spell damage around the main target.
","攻击有几率对目标施加持续范围法术伤害。"
"VZSN","Attacks have a 16% chance to apply 3 charges of [color=GOLD]Firestorm[/color] to the target. Each second, a charge will be spent, dealing 300 spell damage to enemies in 300 range. If the target already has charges, the charges will accumulate and a charge will be consumed instantly. On death all remaining [color=GOLD]Firestorm[/color] charges get consumed at once.
 
[color=ORANGE]Level Bonus:[/color]
+0.5% chance
+10 damage
","攻击时有16%几率对目标施加3层[color=GOLD]烈焰风暴[/color]，每秒消耗1层对300范围造成300点法术伤害。对已有层数的敌方单位，此效果会叠加并立即消耗1层。目标死亡时剩余层数全部立即爆发。

[color=ORANGE]等级加成：[/color]
+0.5% 几率
+10 伤害"
"GEIW","Firestorm","烈焰风暴"
"E8SC","Attacks have a chance to cause repeating AoE spell damage around the main target.
","攻击有几率对目标施加持续范围法术伤害。"
"W25E","Attacks have a 20% chance to apply 3 charges of [color=GOLD]Firestorm[/color] to the target. Each second, a charge will be spent, dealing 800 spell damage to enemies in 300 range. If the target already has charges, the charges will accumulate and a charge will be consumed instantly. On death all remaining [color=GOLD]Firestorm[/color] charges get consumed at once.
 
[color=ORANGE]Level Bonus:[/color]
+0.6% chance
+35 damage
","攻击时有20%几率对目标施加3层[color=GOLD]烈焰风暴[/color]，每秒消耗1层对300范围造成800点法术伤害。对已有层数的敌方单位，此效果会叠加并立即消耗1层。目标死亡时剩余层数全部立即爆发。

[color=ORANGE]等级加成：[/color]
+0.6% 几率
+35 伤害"
"TB08","Firestorm","烈焰风暴"
"03J2","Attacks have a chance to cause repeating AoE spell damage around the main target.
","攻击有几率对目标施加持续范围法术伤害。"
"8EEE","Attacks have a 24% chance to apply 3 charges of [color=GOLD]Firestorm[/color] to the target. Each second, a charge will be spent, dealing 1400 spell damage to enemies in 300 range. If the target already has charges, the charges will accumulate and a charge will be consumed instantly. On death all remaining [color=GOLD]Firestorm[/color] charges get consumed at once.
 
[color=ORANGE]Level Bonus:[/color]
+0.7% chance
+65 damage
","攻击时有24%几率对目标施加3层[color=GOLD]烈焰风暴[/color]，每秒消耗1层对300范围造成1400点法术伤害。对已有层数的敌方单位，此效果会叠加并立即消耗1层。目标死亡时剩余层数全部立即爆发。

[color=ORANGE]等级加成：[/color]
+0.7% 几率
+65 伤害"
"DS9R","Versatile","万用增幅"
"LEBH","Every time this tower deals spell damage through its abilities, it increases its DPS.
","技能造成法术伤害时，按比例提升攻击秒伤。"
"C0YP","Every time this tower deals spell damage through its abilities, it increases its DPS by 1.5% of the spell damage dealt. Lasts 2.5 seconds and stacks. Maximum bonus of [color=GOLD][200 x (current wave)][/color].
 
[color=ORANGE]Level Bonus:[/color]
+0.04% damage
","每次通过技能造成法术伤害时，按伤害值的1.5%提升秒伤，持续2.5秒可叠加。最大加成值为[color=GOLD][200 x 当前波次][/color]。

[color=ORANGE]等级加成：[/color]
+0.04% 伤害加成"
"6B8H","Unleash","巨龙召唤"
"US76","Whenever this tower attacks, it has a chance to unleash a bronze drake towards the main target.
","攻击时有几率向主目标召唤青铜龙。"
"UK6X","Whenever this tower attacks, it has a 12.5% chance to unleash a bronze drake towards the main target. The bronze drake deals 1250 spell damage to a random creep in front of itself in 600 range every 0.2 seconds. Lasts 2 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+40 spell damage
+0.3% chance
","攻击时有12.5%几率向主目标召唤青铜龙。青铜龙每0.2秒对前方600范围内一个随机敌方单位造成1250点法术伤害，持续2秒。

[color=ORANGE]等级加成：[/color]
+40 法术伤害
+0.3% 几率"
"HEH6","Feed the Drakes","饲龙仪式"
"H55Y","The Drake Whisperer feeds a nearby corpse to one of his drakes and unleashes it on a random target.
","用附近尸体喂养巨龙并随机释放。"
"RSYO","Every 1.5 seconds, the Drake Whisperer feeds a nearby corpse to one of his drakes and unleashes it on a random target in 1000 range. If there is no target, the drake will attack on the next feeding, with a maximum of 5 fed drakes. Each corpse has a 15% chance to feed 2 drakes.
 
[color=BLUE]Blue[/color] Drake deals 6000 spell damage in 125 AoE and slows by 25% for 3 seconds.
[color=RED]Red[/color] Drake deals 200% of the tower's attack damage and stuns for 3 seconds.
[color=GREEN]Green[/color] Drake deals 5000 spell damage and spreads [color=GOLD]Versatile's[/color] current DPS bonus to towers in 175 range for 2.5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.4% double feed chance
[color=BLUE]Blue[/color] Drake : +150 spell damage
[color=RED]Red[/color] Drake : +8% damage
[color=GREEN]Green[/color] Drake : +0.04 seconds duration
","每1.5秒用附近尸体喂养一条龙，技能将对1000范围内随机目标尸体释放。若无目标则累计喂养机会至最多5次，每次喂养有15%几率释放两次龙。

[color=BLUE]蓝龙[/color]：对125范围造成6000点法术伤害并在3秒内减速25%。
[color=RED]红龙[/color]：造成200%防御塔攻击力的伤害并造成3秒晕眩
[color=GREEN]绿龙[/color]：造成5000点法术伤害，并将[color=GOLD]万用增幅[/color]当前秒伤加成至175范围内防御塔，持续2.5秒

[color=ORANGE]等级加成：[/color]
+0.4% 双重释放几率
[color=BLUE]蓝龙[/color]：+150 法术伤害
[color=RED]红龙[/color]：+8% 伤害
[color=GREEN]绿龙[/color]：+0.04秒 持续时间"
"6NDN","Knowledge","智慧启迪"
"4PUT","Whenever this tower attacks, it has a chance to grant experience to a random nearby tower.
","攻击时有几率赋予附近随机防御塔经验值。"
"HI5L","Whenever this tower attacks, it has a 10% chance to grant 1 experience to a random tower in 600 range
 
[color=ORANGE]Level Bonus:[/color]
+0.6% chance","攻击时有10%几率赋予600范围内随机一座防御塔1点经验值

[color=ORANGE]等级加成：[/color]
+0.6% 几率"
"O7FE","Knowledge","智慧启迪"
"Y41T","Whenever this tower attacks, it has a chance to grant experience to a random nearby tower.
","攻击时有几率赋予附近随机防御塔经验值。"
"S0H1","Whenever this tower attacks, it has a 10% chance to grant 1.3 experience to a random tower in 600 range
 
[color=ORANGE]Level Bonus:[/color]
+0.6% chance","攻击时有10%几率赋予600范围内随机一座防御塔1.3点经验值

[color=ORANGE]等级加成：[/color]
+0.6% 几率"
"8H7S","Knowledge","智慧启迪"
"174O","Whenever this tower attacks, it has a chance to grant experience to a random nearby tower.
","攻击时有几率赋予附近随机防御塔经验值。"
"BE6U","Whenever this tower attacks, it has a 10% chance to grant 1.5 experience to a random tower in 600 range
 
[color=ORANGE]Level Bonus:[/color]
+0.6% chance","攻击时有10%几率赋予600范围内随机一座防御塔1.5点经验值

[color=ORANGE]等级加成：[/color]
+0.6% 几率"
"053L","Knowledge","智慧启迪"
"QAK1","Whenever this tower attacks, it has a chance to grant experience to a random nearby tower.
","攻击时有几率赋予附近随机防御塔经验值。"
"B94W","Whenever this tower attacks, it has a 10% chance to grant 1.8 experience to a random tower in 600 range
 
[color=ORANGE]Level Bonus:[/color]
+0.6% chance","攻击时有10%几率赋予600范围内随机一座防御塔1.8点经验值

[color=ORANGE]等级加成：[/color]
+0.6% 几率"
"WVJ4","Knowledge","智慧启迪"
"SBE3","Whenever this tower attacks, it has a chance to grant experience to a random nearby tower.
","攻击时有几率赋予附近随机防御塔经验值。"
"CU9B","Whenever this tower attacks, it has a 10% chance to grant 2 experience to a random tower in 600 range
 
[color=ORANGE]Level Bonus:[/color]
+0.6% chance","攻击时有10%几率赋予600范围内随机一座防御塔2点经验值

[color=ORANGE]等级加成：[/color]
+0.6% 几率"
"E868","Knowledge","智慧启迪"
"8W7K","Whenever this tower attacks, it has a chance to grant experience to a random nearby tower.
","攻击时有几率赋予附近随机防御塔经验值。"
"5GH7","Whenever this tower attacks, it has a 10% chance to grant 2.2 experience to a random tower in 600 range
 
[color=ORANGE]Level Bonus:[/color]
+0.6% chance","攻击时有10%几率赋予600范围内随机一座防御塔2.2点经验值

[color=ORANGE]等级加成：[/color]
+0.6% 几率"
"U7TM","Soulfire","魂火灼烧"
"P90V","Chance to burn hit creeps, dealing spell damage.
","攻击有几率引燃目标造成持续法术伤害。"
"7TY1","20% chance to burn hit creeps, dealing 1000 spell damage per second for 5 seconds. This effect stacks.
 
[color=ORANGE]Level Bonus:[/color]
+0.4% chance
+40 spell damage
","20%几率灼烧命中的敌方单位，每秒造成1000点法术伤害,持续5秒，效果可叠加。

[color=ORANGE]等级加成：[/color]
+0.4% 几率
+40 法术伤害"
"GQKV","Soul Consumption","灵魂吞噬"
"U91V","When a creep dies under the effect of [color=GOLD]Soulfire[/color], [color=GOLD]Soulfire[/color] spreads to nearby creeps.
","被[color=GOLD]魂火灼烧[/color]杀死的单位会扩散效果。"
"R8FG","When a creep dies under the effect of [color=GOLD]Soulfire[/color], [color=GOLD]Soulfire[/color] spreads to nearby creeps within 200 range. The creep is consumed by the tower, restoring 5 mana.
","被[color=GOLD]魂火灼烧[/color]杀死的敌方单位会将该效果扩散至200范围内其他单位，同时防御塔恢复5点法力值。"
"DNN9","Uncontrollable Flames","失控烈焰"
"2DZV","The tower attacks a random creep in range with each attack.
","每次攻击随机选择范围内敌方单位。"
"Z4RN","The tower attacks a random creep in range with each attack.
","该防御塔每次攻击都会选择范围内随机敌方单位作为目标。"
"LLQO","Lingering Flame","余烬灼烧"
